e1CPT_Code_Desc,e1Units,Billed,Avg Billed,CPT Payments,Avg CPT Pay per charge line,Avg Cpt Pay per Unit,Average of ReimbRate,,CPT Code,Value Care,Focal Point,Actual pay,Average of ReimbRate,Unit
"99214 - Office Visit, Est Pat, Level 4, mod-high complexity","36,984","8,835,920",238,"4,838,107",130,131,55.3%,,99214, $148.84 , $133.96 , $130.81 ,55.3%,"36,984"
"99213 - Office Visit, Est Pat, Level 3, moderate complexity","30,004","4,617,892",153,"2,737,550",91,91,60.1%,,99213, $105.58 , $95.02 , $91.23 ,60.1%,"30,004"
"99204 - Office Visit, New Pat, Level 4, mod-high complexity","8,628","3,151,016",362,"1,528,176",175,177,49.0%,,99204, $194.48 , $175.03 , $176.95 ,49.0%,"8,628"
95165 - ANTIGEN THERAPY SERVICES,"44,825","1,299,733","1,372","1,038,510","1,097",23,80.3%,,95165, $24.06 , $21.65 , $23.14 ,80.3%,"44,825"
"99396 - Preventive Exam, Est, 40-64","6,939","1,706,871",246,"979,486",141,141,57.6%,,99396, $146.46 , $131.81 , $141.16 ,57.6%,"6,939"
"99203 - Office Visit, New Pat, Level 3, moderate complexity","8,057","1,913,956",235,"953,937",117,118,50.5%,,99203, $130.58 , $117.52 , $118.22 ,50.5%,"8,057"
59400 - ROUTINE OBSTETRIC CARE,249,"1,184,696","4,701","933,847","3,706",3750,79.5%,,59400," $4,112.56 "," $3,701.30 "," $3,750.39 ",79.5%,249
59510 - ROUTINE CARE AND CESAREAN D,129,"681,794","5,245","557,687","4,290",4289,81.2%,,59510," $4,541.23 "," $4,087.11 "," $4,289.08 ",81.2%,129
90677 - PCV20 VACCINE IM,"1,811","727,995",402,"514,854",284,284,71.3%,,90677, $296.43 , $296.43 , $284.29 ,71.3%,"1,811"
77067 - SCR MAMMO BI INCL CAD,"1,817","508,760",280,"409,167",225,225,80.6%,,77067, $66.45 , $214.06 , $225.19 ,80.6%,"1,817"
64483 - INJ FORAMEN EPIDURAL LS,839,"959,293","1,143","401,540",479,479,44.2%,,64483, $430.40 , $387.36 , $478.59 ,44.2%,839
"99395 - Preventive Exam, Est, 18-39","2,969","679,901",229,"387,164",130,130,57.2%,,99395, $136.14 , $122.53 , $130.40 ,57.2%,"2,969"
Q2043 - SIPULEUCEL-T AUTO CD54+,6,"597,000","99,500","344,862","57,477",57477,57.8%,,Q2043," $61,540.57 "," $61,540.57 "," $57,477.01 ",57.8%,6
G2211 - Complex e/m visit add on,"17,371","694,320",40,"292,072",17,17,45.5%,,G2211, $19.60 , $17.64 , $16.81 ,45.5%,"17,371"
"95004 - ALLERGY SKIN TESTS, PERCUTA","49,306","541,893",379,"283,750",199,6,53.6%,,95004, $6.28 , $5.65 , $5.83 ,53.6%,"49,306"
J0585 - Botulinum Toxin A Per Unit,"40,426","346,370","1,046","277,332",838,7,79.7%,,J0585, $7.15 , $7.15 , $6.90 ,79.7%,"40,426"
64635 - DESTROY LUMBSAC FACET JNT,397,"483,138","1,214","275,652",693,694,58.5%,,64635, $774.03 , $696.63 , $694.34 ,58.5%,397
